,question,answer,ground_truth,contexts,quadro
0,"No episódio 'hotel', quem era a Gislaine e o que ela fazia de trabalho?","A Gislaine era uma pessoa que sonhava com um hotel e, quando foi ao hotel, se lembrava do sonho. Ela foi turistar, fazer passeios e, ao voltar para o hotel, esqueceu as coisas dela no quarto e foi tomar um banho.",A Gislaine era comissária de bordo.,"['risos] Um beijo.', 'Então vamos lá, vamos de história.', 'E a Gislaine vinha sonhando… Sabe quando você sonha de uma maneira agitada? Mas você não lembra o sonho? Ela não lembrava, mas conforme ela foi andando por aquele hotel, ela foi se lembrando, tipo “poxa, eu acho que as coisas que eu sonhei eu estava nesse hotel, mas eu nunca vim aqui. Como eu sonhei com um lugar que eu nunca vim?”. E aí também bobagem… Esqueceu, deixou as coisas dela no quarto dela de hotel e tal e foi turistar… Fazer os passeios e tal… Voltou por volta de umas oito horas da noite, super cansada e era tomar um banho, deitar, pra outro no outro dia fazer os outros passeios.', 'Assinante 1: Oi, gente, oi, Déia, Carolina aqui de Minas Gerais. Eu sou uma das que custa ouvir Luz Acesa, mas eu acabo ouvindo porque sou curiosa e porque eu tenho as minhas manias de vencer todos os episódios, né? [ risos] E ouvi esse Luz Acesa muito mais apavorada com os vivos do que com os mortos… Como sempre, né? A gente que é mulher sabe que não tem um minuto de paz. E é um pouquinho de alento saber que em outras zonas aí, [risos] querendo ou não, tem pessoas, tem espíritos de luz aí querendo proteger a vida e a integridade do corpo das mulheres.']",../perguntas/ferias-perguntas.json
1,"No episódio 'hotel', quem era o Giancarlo e qual era sua relação com a Gislaine?",Giancarlo era o namorado da Gislaine.,O Giancarlo era um amigo francês da Gislaine que trabalhava junto com ela em alguns voos.,"['risos] Um beijo.', 'Assinante 1: Oi, gente, oi, Déia, Carolina aqui de Minas Gerais. Eu sou uma das que custa ouvir Luz Acesa, mas eu acabo ouvindo porque sou curiosa e porque eu tenho as minhas manias de vencer todos os episódios, né? [ risos] E ouvi esse Luz Acesa muito mais apavorada com os vivos do que com os mortos… Como sempre, né? A gente que é mulher sabe que não tem um minuto de paz. E é um pouquinho de alento saber que em outras zonas aí, [risos] querendo ou não, tem pessoas, tem espíritos de luz aí querendo proteger a vida e a integridade do corpo das mulheres.', 'E a Gislaine vinha sonhando… Sabe quando você sonha de uma maneira agitada? Mas você não lembra o sonho? Ela não lembrava, mas conforme ela foi andando por aquele hotel, ela foi se lembrando, tipo “poxa, eu acho que as coisas que eu sonhei eu estava nesse hotel, mas eu nunca vim aqui. Como eu sonhei com um lugar que eu nunca vim?”. E aí também bobagem… Esqueceu, deixou as coisas dela no quarto dela de hotel e tal e foi turistar… Fazer os passeios e tal… Voltou por volta de umas oito horas da noite, super cansada e era tomar um banho, deitar, pra outro no outro dia fazer os outros passeios.', '[vinheta] Especial de Férias Não Inviabilize. [ vinheta]']",../perguntas/ferias-perguntas.json
2,"No episódio 'hotel', o que aconteceu com o recepcionista do hotel que tentou entrar no quarto da Gislaine?",Ele salvou a vida da Gislaine.,O recepcionista do hotel do turno da madrugada que tentou entrar no quarto da Gislaine foi detido pela polícia.,"['risos] Um beijo.', 'E a Gislaine vinha sonhando… Sabe quando você sonha de uma maneira agitada? Mas você não lembra o sonho? Ela não lembrava, mas conforme ela foi andando por aquele hotel, ela foi se lembrando, tipo “poxa, eu acho que as coisas que eu sonhei eu estava nesse hotel, mas eu nunca vim aqui. Como eu sonhei com um lugar que eu nunca vim?”. E aí também bobagem… Esqueceu, deixou as coisas dela no quarto dela de hotel e tal e foi turistar… Fazer os passeios e tal… Voltou por volta de umas oito horas da noite, super cansada e era tomar um banho, deitar, pra outro no outro dia fazer os outros passeios.', 'Assinante 1: Oi, gente, oi, Déia, Carolina aqui de Minas Gerais. Eu sou uma das que custa ouvir Luz Acesa, mas eu acabo ouvindo porque sou curiosa e porque eu tenho as minhas manias de vencer todos os episódios, né? [ risos] E ouvi esse Luz Acesa muito mais apavorada com os vivos do que com os mortos… Como sempre, né? A gente que é mulher sabe que não tem um minuto de paz. E é um pouquinho de alento saber que em outras zonas aí, [risos] querendo ou não, tem pessoas, tem espíritos de luz aí querendo proteger a vida e a integridade do corpo das mulheres.', 'risos] Então, provavelmente o recepcionista nem ia chegar na porta, porque eu ia gritar antes. Mas ele salvou a vida da Gislaine, né?']",../perguntas/ferias-perguntas.json
3,"No episódio 'perigo', quem era a moça que ajudou a Stefany?","Infelizmente, não há informação suficiente no episódio.",Um anjo ou um mecanismo de defesa da Stefany,"['Um beijo.', '[vinheta] Especial de Férias é mais um quadro do canal Não Inviabilize. [ vinheta]', 'Mas quem era essa moça que apareceu do nada e ninguém via essa moça, só a Stefany?', 'O que vocês acham?']",../perguntas/ferias-perguntas.json
4,"No episódio 'perigo', por que a Stefany se sentiu incomodada no chalé?",Não há informação suficiente no episódio.,Porque ela não combinou com o namorado que os amigos iriam estar lá e sentiu uma sensação ruim quando os viu.,"['Um beijo.', 'Mas quem era essa moça que apareceu do nada e ninguém via essa moça, só a Stefany?', 'Mas ali na hora é difícil, né? —', 'O que vocês acham?', 'É isso?”. — E não era essa a questão, era aniversário dela, né? —', 'Eu sou um cara legal, olha o que eu estou fazendo por você”. —', 'Dessa situação. —', 'Então vamos lá, vamos de história.', 'Um beijo.', 'Mas quem era essa moça que apareceu do nada e ninguém via essa moça, só a Stefany?', 'Mas ali na hora é difícil, né? —', 'O que vocês acham?']",../perguntas/ferias-perguntas.json
5,"No episódio 'perigo', o que a Stefany queria fazer quando viu a moça?",Stefany queria beijar a moça.,Pedir socorro e sair do lugar,"['Um beijo.', 'Então eles não teriam privacidade nenhuma com dois colegas lá. —', '[vinheta] Especial de Férias é mais um quadro do canal Não Inviabilize. [ vinheta]', 'Mocinhas que usam vestidos floridos, assim? Bem na moda. —']",../perguntas/ferias-perguntas.json
6,"No episódio 'fica', quem foi que ficou com os cachorros na casa da avó?",Não há informação suficiente no episódio.,O primo do Evandro,"['Ou o primo morreu no lugar do Evandro?', '[vinheta] Especial de Férias é mais um quadro do canal Não Inviabilize. [ vinheta]', 'Vocês acham o quê? Que era hora do primo e não do Evandro? Ou o primo morreu no lugar do Evandro?', 'Aí foi lá, abriu o portão para o tio, falou: “Não, tio, o que o senhor quer e tal, né?”', 'Ou o primo morreu no lugar do Evandro?', '[vinheta] Especial de Férias é mais um quadro do canal Não Inviabilize. [ vinheta]', 'Vocês acham o quê? Que era hora do primo e não do Evandro? Ou o primo morreu no lugar do Evandro?', 'Aí foi lá, abriu o portão para o tio, falou: “Não, tio, o que o senhor quer e tal, né?”', 'Ou o primo morreu no lugar do Evandro?', '[vinheta] Especial de Férias é mais um quadro do canal Não Inviabilize. [ vinheta]', 'Vocês acham o quê? Que era hora do primo e não do Evandro? Ou o primo morreu no lugar do Evandro?', 'Aí foi lá, abriu o portão para o tio, falou: “Não, tio, o que o senhor quer e tal, né?”']",../perguntas/ferias-perguntas.json
7,"No episódio 'fica', o que o Evandro pensava que ia acontecer se ele fosse para a praia?","Ele pensava que ia ser um cara legal e gentil, fazendo coisas boas, como abrir a porta do carro para Marluce.",Que ele fosse morrer afogado,"['Ou o primo morreu no lugar do Evandro?', '[vinheta] Especial de Férias Não Inviabilize. [ vinheta]', 'Vocês acham o quê? Que era hora do primo e não do Evandro? Ou o primo morreu no lugar do Evandro?', '[vinheta] Especial de Férias é mais um quadro do canal Não Inviabilize. [ vinheta]', 'Eu sou um cara legal, olha o que eu estou fazendo por você”. —', 'Um beijo, pessoal.', 'Dessa situação. —', 'Gentil… E a ponto até de abrir a porta do carro para Marluce, né? O cara era um cavalheiro incrível ali da turma dela de faculdade. —']",../perguntas/ferias-perguntas.json
8,"No episódio 'fica', quem morreu no acidente na estrada?",Evandro.,Os pais do Evandro e o primo,"['Ou o primo morreu no lugar do Evandro?', 'Vocês acham o quê? Que era hora do primo e não do Evandro? Ou o primo morreu no lugar do Evandro?', 'Então, o tempo foi passando… Até que Evandro, com 16 anos, eles retomariam essa tradição de passar as férias na praia.', 'Déia Freitas: Amanhã eu volto com mais uma história, gente… Um beijo e até amanhã.']",../perguntas/ferias-perguntas.json
9,"No episódio 'canoa', quem é a personagem principal da história?",Não há informação suficiente no episódio.,Ana,"['Um beijo.', 'Beijos, fiquem bem.', 'Por que você não anda, né? Desliza na água… — Enfim, deslizar de canoa por aquela parte, aquele entorno.', 'Então vamos lá, vamos de história.']",../perguntas/ferias-perguntas.json
